"","Impedance","concentration","Analyte"
"1",0.101577689,0.0025,"Ethanol"
"2",0.611689754,0.0025,"Ethanol"
"3",0,0.0025,"Ethanol"
"4",0.505658801,0.0125,"Ethanol"
"5",0.664947273,0.0125,"Ethanol"
"6",0.101145538,0.0125,"Ethanol"
"7",0.706746238,0.025,"Ethanol"
"8",0.705350406,0.025,"Ethanol"
"9",0.360824994,0.025,"Ethanol"
"10",0.791568068,0.0375,"Ethanol"
"11",0.91330496,0.0375,"Ethanol"
"12",0.689692714,0.0375,"Ethanol"
"13",0.89989257,0.0625,"Ethanol"
"14",0.994353342,0.0625,"Ethanol"
"15",0.793422595,0.0625,"Ethanol"
"16",1,0.0875,"Ethanol"
"17",1,0.0875,"Ethanol"
"18",1,0.0875,"Ethanol"
"19",0,0,"Acetone"
"20",0,0,"Acetone"
"21",0,0,"Acetone"
"22",0.468267369,0.0025,"Acetone"
"23",0.102220367,0.0025,"Acetone"
"24",0.102327061,0.0025,"Acetone"
"25",0.586352784,0.0075,"Acetone"
"26",0.373139192,0.0075,"Acetone"
"27",0.174065707,0.0075,"Acetone"
"28",0.69690863,0.0125,"Acetone"
"29",0.440869482,0.0125,"Acetone"
"30",0.241175434,0.0125,"Acetone"
"31",0.894142693,0.025,"Acetone"
"32",0.594092218,0.025,"Acetone"
"33",0.423747775,0.025,"Acetone"
"34",1,0.0625,"Acetone"
"35",1,0.0625,"Acetone"
"36",1,0.0625,"Acetone"
"37",0.946441429,0.0875,"Acetone"
"38",0.634914017,0.0875,"Acetone"
"39",0.970120165,0.0875,"Acetone"
"40",0,0,"Acetonitrile"
"41",0,0,"Acetonitrile"
"42",0.10274829,0.0025,"Acetonitrile"
"43",0.019805773,0.0025,"Acetonitrile"
"44",0.157188444,0.0075,"Acetonitrile"
"45",0.07174976,0.0075,"Acetonitrile"
"46",0.331034896,0.0125,"Acetonitrile"
"47",0.079552153,0.0125,"Acetonitrile"
"48",0.448720107,0.025,"Acetonitrile"
"49",0.410867877,0.025,"Acetonitrile"
"50",0.585180863,0.0375,"Acetonitrile"
"51",0.502938264,0.0375,"Acetonitrile"
"52",0.896891344,0.0625,"Acetonitrile"
"53",0.688498593,0.0625,"Acetonitrile"
"54",1,0.0875,"Acetonitrile"
"55",1,0.0875,"Acetonitrile"
"56",1,0.0025,"H2S"
"57",1,0.0025,"H2S"
"58",0.858627705,0.0075,"H2S"
"59",0.995115742,0.0075,"H2S"
"60",0.783551809,0.0125,"H2S"
"61",0.571571097,0.0125,"H2S"
"62",0.429431452,0.025,"H2S"
"63",0.347798833,0.025,"H2S"
"64",0.166839148,0.025,"H2S"
"65",0.343567064,0.0375,"H2S"
"66",0.226543824,0.0375,"H2S"
"67",0.319930488,0.0625,"H2S"
"68",0,0.0625,"H2S"
